,v_const,a_const,smooth
0,49.111111,2.0,2.444444
1,-0.0,-0.0,-0.0
2,-0.0,-0.0,-0.0
3,-0.0,-0.0,-0.0
4,-0.0,-0.0,-0.0
5,-0.0,-0.0,-0.0
6,-0.0,-0.0,-0.0
7,-0.0,-0.0,-0.0
8,-0.0,-0.0,-0.0
9,-0.0,-0.0,-0.0
10,-0.0,-0.0,-0.0
11,-0.0,-0.0,-0.0
12,-0.0,-0.0,-0.0
13,-0.0,-0.0,-0.0
14,-0.0,-0.0,-0.0
15,-0.0,-0.0,-0.0
16,-0.0,-0.0,-0.0
17,-0.0,-0.0,-0.0
18,-0.0,-0.0,-0.0
19,-0.0,-0.0,-0.0
20,-0.0,-0.0,-0.0
21,-0.0,-0.0,-0.0
22,-0.0,-0.0,-0.0
23,-0.0,-0.0,-0.0
24,-0.0,-0.0,-0.0
25,-0.0,-0.0,-0.0
26,-0.0,-0.0,-0.0
27,-0.0,-0.0,-0.0
28,-0.0,-0.0,-0.0
29,-0.0,-0.0,-0.0
30,-0.0,-0.0,-0.0
31,-0.0,-0.0,-0.0
32,-0.0,-0.0,-0.0
33,-0.0,-0.0,-0.0
34,-0.0,-0.0,-0.0
35,-0.0,-0.0,-0.0
36,-0.0,-0.0,-0.0
37,-0.0,-0.0,-0.0
38,-0.0,-0.0,-0.0
39,-0.0,-0.0,-0.0
40,-0.0,-0.0,-0.0
41,-0.0,-0.0,-0.0
42,-0.0,-0.0,-0.0
43,-0.0,-0.0,-0.0
44,-0.0,-0.0,0.0003333333333333333
45,-0.0,-0.0,-0.0
46,-0.0,-0.0,-0.0
47,-0.0,-0.0,-0.0
48,-0.0,-0.0,0.0003333333333333333
49,-0.0,-0.0,0.0003333333333333333
50,-0.0,0.0003333333333333333,0.0003333333333333333
51,0.0026666666666666666,0.0006666666666666666,0.0006666666666666666
52,0.005666666666666667,0.001,0.0006666666666666666
53,0.007333333333333333,0.0016666666666666668,0.0006666666666666666
54,0.010333333333333333,0.0026666666666666666,0.0006666666666666666
55,0.012333333333333333,0.0033333333333333335,0.001
56,0.014666666666666666,0.004666666666666667,0.001
57,0.01633333333333333,0.006,0.0013333333333333333
58,0.016,0.007666666666666667,0.0016666666666666668
59,0.01633333333333333,0.009000000000000001,0.0023333333333333335
60,0.016666666666666666,0.012,0.003
61,0.01633333333333333,0.013666666666666666,0.003
62,0.01633333333333333,0.016,0.0033333333333333335
63,0.01633333333333333,0.017666666666666667,0.004
64,0.01633333333333333,0.02033333333333333,0.004666666666666667
65,0.01633333333333333,0.02266666666666667,0.006
66,0.016666666666666666,0.025666666666666667,0.007666666666666667
67,0.016666666666666666,0.027666666666666666,0.009333333333333334
68,0.01633333333333333,0.030333333333333334,0.010666666666666666
69,0.01633333333333333,0.03166666666666666,0.012666666666666666
70,0.01633333333333333,0.034,0.014333333333333333
71,0.016666666666666666,0.035666666666666666,0.016
72,0.017,0.038,0.017666666666666667
73,0.016666666666666666,0.03966666666666666,0.019666666666666666
74,0.016666666666666666,0.041,0.021333333333333333
75,0.017,0.042333333333333334,0.02333333333333333
76,0.016666666666666666,0.045000000000000005,0.025
77,0.017,0.04666666666666666,0.027000000000000003
78,0.017,0.04833333333333333,0.028666666666666667
79,0.017,0.05,0.031000000000000003
80,0.01633333333333333,0.051666666666666666,0.03266666666666666
81,0.017,0.05366666666666667,0.034666666666666665
82,0.016666666666666666,0.056,0.036000000000000004
83,0.01633333333333333,0.057666666666666665,0.037333333333333336
84,0.016666666666666666,0.060333333333333336,0.03966666666666666
85,0.017,0.06266666666666666,0.041666666666666664
86,0.016666666666666666,0.065,0.042666666666666665
87,0.01633333333333333,0.06666666666666667,0.043666666666666666
88,0.016666666666666666,0.06833333333333333,0.045000000000000005
89,0.016,0.07066666666666667,0.047
90,0.01633333333333333,0.07233333333333333,0.048666666666666664
91,0.01633333333333333,0.07466666666666667,0.050666666666666665
92,0.016,0.07666666666666666,0.05266666666666667
93,0.016666666666666666,0.078,0.054000000000000006
94,0.01633333333333333,0.08033333333333334,0.05466666666666666
95,0.01633333333333333,0.08233333333333334,0.05566666666666666
96,0.01633333333333333,0.08466666666666667,0.057
97,0.016666666666666666,0.08666666666666667,0.059000000000000004
98,0.01633333333333333,0.08833333333333333,0.06133333333333334
99,0.016666666666666666,0.09000000000000001,0.06333333333333332
100,0.01633333333333333,0.092,0.06533333333333333
101,0.016666666666666666,0.09433333333333334,0.06733333333333333
102,0.016666666666666666,0.09633333333333334,0.06833333333333333
103,0.01633333333333333,0.098,0.07033333333333333
104,0.016,0.10066666666666667,0.07166666666666667
105,0.01633333333333333,0.10266666666666667,0.07333333333333333
106,0.01633333333333333,0.105,0.075
107,0.016,0.10633333333333334,0.07766666666666668
108,0.01633333333333333,0.109,0.08
109,0.01633333333333333,0.111,0.082
110,0.01633333333333333,0.11266666666666666,0.084
111,0.016666666666666666,0.11433333333333334,0.08600000000000001
112,0.016666666666666666,0.11633333333333334,0.08833333333333333
113,0.01633333333333333,0.11866666666666667,0.09033333333333333
114,0.01633333333333333,0.12033333333333333,0.092
115,0.016666666666666666,0.12233333333333334,0.09466666666666666
116,0.016,0.125,0.097
117,0.01633333333333333,0.12666666666666665,0.09866666666666667
118,0.01633333333333333,0.12866666666666665,0.10066666666666667
119,0.01633333333333333,0.13066666666666665,0.10333333333333333
120,0.01633333333333333,0.13266666666666665,0.105
121,0.01633333333333333,0.13399999999999998,0.10766666666666666
122,0.01633333333333333,0.136,0.11
123,0.016666666666666666,0.13833333333333334,0.11366666666666667
