,v_const,a_const,smooth
62,9.039359876589716e-06,5.165348333540828e-05,1.807871880910509e-05
63,1.4850376913777231e-05,-1.8078718720631938e-05,6.45668538386183e-07
64,9.039359876589716e-06,-5.8755837567580866e-05,6.456685310025987e-06
65,-8.393691323478048e-06,-4.1322786544627737e-05,6.45668538386183e-07
66,9.039359876589716e-06,4.003144980685416e-05,6.456685310025987e-06
67,2.6472410943823502e-05,-2.970075260311875e-05,1.2267702066940306e-05
68,-2.5826742420259e-06,-4.713380353753459e-05,6.45668538386183e-07
69,9.039359876589716e-06,-1.8078718720631938e-05,-1.0976365049142024e-05
70,1.4850376913777231e-05,-6.456680075312401e-07,-5.165348248003154e-06
71,3.2283428246606827e-06,-2.3889735654500578e-05,6.456685310025987e-06
72,9.039359876589716e-06,-4.713380353753459e-05,-1.0976365049142024e-05
73,-2.5826742420259e-06,-2.3889735654500578e-05,6.456685310025987e-06
74,3.2283428246606827e-06,5.1653488673392645e-06,-2.2598398695628286e-05
75,2.0661393936175134e-05,-2.970075260311875e-05,1.2267702066940306e-05
76,9.039359876589716e-06,-4.713380353753459e-05,-1.6787381865014395e-05
77,-2.5826742420259e-06,-2.970075260311875e-05,-1.6787381865014395e-05
78,9.039359876589716e-06,4.584246657849396e-05,-5.165348248003154e-06
79,-2.5826742420259e-06,-1.2267701801512833e-05,1.2267702066940306e-05
80,1.4850376913777231e-05,-2.970075260311875e-05,6.45668538386183e-07
81,3.2283428246606827e-06,-2.970075260311875e-05,-5.165348248003154e-06
82,-8.393691323478048e-06,3.422043302046482e-05,6.45668538386183e-07
83,9.039359876589716e-06,-2.3889735654500578e-05,-2.2598398695628286e-05
84,3.2283428246606827e-06,-6.4566848971512785e-06,-5.165348248003154e-06
85,3.2283428246606827e-06,-1.8078718720631938e-05,-5.165348248003154e-06
86,1.4850376913777231e-05,2.259839940345358e-05,6.456685310025987e-06
87,1.4850376913777231e-05,-2.970075260311875e-05,6.45668538386183e-07
88,3.2283428246606827e-06,-4.1322786544627737e-05,-5.165348248003154e-06
89,3.2283428246606827e-06,-2.3889735654500578e-05,6.45668538386183e-07
90,1.4850376913777231e-05,-6.4566848971512785e-06,-1.0976365049142024e-05
91,1.4850376913777231e-05,-1.8078718720631938e-05,6.456685310025987e-06
92,-8.393691323478048e-06,-3.55117695665105e-05,-5.165348248003154e-06
93,-2.5826742420259e-06,-2.3889735654500578e-05,-5.165348248003154e-06
94,2.6472410943823502e-05,-6.456680075312401e-07,6.456685310025987e-06
95,2.6472410943823502e-05,-1.8078718720631938e-05,2.3889735536536373e-05
96,1.4850376913777231e-05,-9.943295713778597e-05,6.456685310025987e-06
97,-8.393691323478048e-06,-2.3889735654500578e-05,-5.165348248003154e-06
98,-2.5826742420259e-06,2.840941621932595e-05,6.45668538386183e-07
99,1.4850376913777231e-05,-3.55117695665105e-05,6.456685310025987e-06
100,3.2283428246606827e-06,-8.199990580483614e-05,6.45668538386183e-07
101,-8.393691323478048e-06,-3.55117695665105e-05,1.2267702066940306e-05
102,-2.5826742420259e-06,8.07085668988491e-05,6.456685310025987e-06
103,2.0661393936175134e-05,-2.970075260311875e-05,6.45668538386183e-07
104,9.039359876589716e-06,-8.781092290105385e-05,6.45668538386183e-07
105,-8.393691323478048e-06,-6.4566848971512785e-06,6.45668538386183e-07
106,2.0661393936175134e-05,-6.4566848971512785e-06,6.45668538386183e-07
107,2.6472410943823502e-05,-1.8078718720631938e-05,6.456685310025987e-06
108,9.039359876589716e-06,-5.8755837567580866e-05,6.45668538386183e-07
109,-2.0015725530687057e-05,-1.8078718720631938e-05,6.45668538386183e-07
110,-8.393691323478048e-06,-1.2267701801512833e-05,6.45668538386183e-07
111,1.4850376913777231e-05,-2.3889735654500578e-05,-5.165348248003154e-06
112,3.2283428246606827e-06,-4.713380353753459e-05,-5.165348248003154e-06
113,9.039359876589716e-06,-1.8078718720631938e-05,-2.8409415541015756e-05
114,1.4850376913777231e-05,5.1653488673392645e-06,-5.165348248003154e-06
115,-2.5826742420259e-06,-1.8078718720631938e-05,-1.0976365049142024e-05
116,3.2283428246606827e-06,-3.55117695665105e-05,-5.165348248003154e-06
117,3.2283428246606827e-06,-1.8078718720631938e-05,-1.6787381865014395e-05
118,3.2283428246606827e-06,-6.4566848971512785e-06,6.456685310025987e-06
119,3.2283428246606827e-06,-4.1322786544627737e-05,6.456685310025987e-06
120,-2.5826742420259e-06,-8.781092290105385e-05,-5.165348248003154e-06
121,-8.393691323478048e-06,-2.3889735654500578e-05,-5.165348248003154e-06
122,2.0661393936175134e-05,5.7464500077573065e-05,-5.165348248003154e-06
123,2.6472410943823502e-05,-6.456680075312401e-07,1.2267702066940306e-05
124,2.0661393936175134e-05,-4.1322786544627737e-05,6.45668538386183e-07
125,-8.393691323478048e-06,-1.2267701801512833e-05,6.45668538386183e-07
126,2.0661393936175134e-05,-1.8078718720631938e-05,1.2267702066940306e-05
127,2.6472410943823502e-05,-2.3889735654500578e-05,1.807871880910509e-05
128,1.4850376913777231e-05,-9.362194001204515e-05,-5.165348248003154e-06
129,-1.420470841969576e-05,-1.8078718720631938e-05,-1.6787381865014395e-05
130,-2.5826742420259e-06,-1.8078718720631938e-05,1.2267702066940306e-05
131,1.4850376913777231e-05,-2.3889735654500578e-05,1.807871880910509e-05
132,2.0661393936175134e-05,-1.8078718720631938e-05,1.2267702066940306e-05
133,3.2283428246606827e-06,-2.3889735654500578e-05,-1.0976365049142024e-05
134,9.039359876589716e-06,-1.8078718720631938e-05,6.456685310025987e-06
135,9.039359876589716e-06,-2.3889735654500578e-05,6.45668538386183e-07
136,-8.393691323478048e-06,-7.6188888723384e-05,6.45668538386183e-07
137,3.2283428246606827e-06,-6.4566848971512785e-06,-1.0976365049142024e-05
138,9.039359876589716e-06,-2.3889735654500578e-05,6.456685310025987e-06
139,9.039359876589716e-06,-1.8078718720631938e-05,1.2267702066940306e-05
140,3.2283428246606827e-06,-0.0001459210946754894,6.45668538386183e-07
141,3.2283428246606827e-06,-2.970075260311875e-05,-1.0976365049142024e-05
142,9.039359876589716e-06,-1.8078718720631938e-05,6.456685310025987e-06
143,2.6472410943823502e-05,-2.3889735654500578e-05,1.2267702066940306e-05
144,9.039359876589716e-06,-5.294482054518296e-05,-5.165348248003154e-06
145,-2.5826742420259e-06,-1.8078718720631938e-05,-5.165348248003154e-06
146,3.2283428246606827e-06,5.1653488673392645e-06,-5.165348248003154e-06
147,1.4850376913777231e-05,-1.2267701801512833e-05,-5.165348248003154e-06
148,-2.5826742420259e-06,-9.362194001204515e-05,-2.2598398695628286e-05
149,-8.393691323478048e-06,-2.970075260311875e-05,-1.6787381865014395e-05
150,2.0661393936175134e-05,-6.4566848971512785e-06,-1.6787381865014395e-05
151,2.0661393936175134e-05,-2.3889735654500578e-05,6.456685310025987e-06
152,1.4850376913777231e-05,-3.55117695665105e-05,-1.0976365049142024e-05
153,-2.5826742420259e-06,-2.3889735654500578e-05,-1.0976365049142024e-05
154,-2.0015725530687057e-05,-6.4566848971512785e-06,-1.0976365049142024e-05
155,3.2283428246606827e-06,-2.3889735654500578e-05,-5.165348248003154e-06
156,9.039359876589716e-06,-6.456685460476837e-05,-1.0976365049142024e-05
157,9.039359876589716e-06,-1.2267701801512833e-05,-1.6787381865014395e-05
158,-2.5826742420259e-06,-6.456680075312401e-07,-5.165348248003154e-06
159,3.2283428246606827e-06,1.097636572745222e-05,6.456685310025987e-06
160,2.0661393936175134e-05,-6.456685460476837e-05,6.456685310025987e-06
161,3.2283428246606827e-06,-6.4566848971512785e-06,-5.165348248003154e-06
162,3.2283428246606827e-06,-6.456680075312401e-07,6.45668538386183e-07
163,3.2283428246606827e-06,-4.1322786544627737e-05,6.456685310025987e-06
164,9.039359876589716e-06,-7.6188888723384e-05,6.45668538386183e-07
165,3.2283428246606827e-06,-2.3889735654500578e-05,6.45668538386183e-07
166,3.2283428246606827e-06,4.584246657849396e-05,6.456685310025987e-06
167,2.6472410943823502e-05,-6.456680075312401e-07,-1.0976365049142024e-05
168,1.4850376913777231e-05,-1.2267701801512833e-05,6.456685310025987e-06
169,-1.420470841969576e-05,5.1653488673392645e-06,-5.165348248003154e-06
170,2.0661393936175134e-05,2.259839940345358e-05,-5.165348248003154e-06
171,2.0661393936175134e-05,1.097636572745222e-05,6.45668538386183e-07
172,3.2283428246606827e-06,-6.4566848971512785e-06,-5.165348248003154e-06
