t [s],F [N],x [m],v [m/s],a [m/s^2]
0.0,0.0,-0.0,-0.0,0.0
0.01,0.0,-0.0,-0.0,0.0
0.02,0.0,-0.0,-0.0,0.0
0.03,0.0,-0.0,-0.0,0.0
0.04,0.0,-0.0,-0.0,0.0
0.05,0.0,-0.0,-0.0,0.0
0.060000000000000005,0.0,-0.0,-0.0,0.0
0.07,0.0,-0.0,-0.0,0.0
0.08,0.0,-0.0,-0.0,0.0
0.09,0.0,-0.0,-0.0,0.0
0.09999999999999999,0.0,-0.0,-0.0,0.0
0.10999999999999999,0.0,-0.0,-0.0,0.0
0.11999999999999998,0.0,-0.0,-0.0,0.0
0.12999999999999998,0.0,-0.0,-0.0,0.0
0.13999999999999999,0.0,-0.0,-0.0,0.0
0.15,-0.09013898867610726,-0.0,-0.0,0.0
0.16,-0.1674009790446518,-0.0,-0.0,0.0
0.17,-0.18027797773807558,-0.0,-0.0,0.0
0.18000000000000002,-0.14164698292649575,-0.0,-0.0,0.0
0.19000000000000003,-0.19315497665246067,-0.0,-0.0,0.0
0.20000000000000004,0.05150799275823596,-0.0,-0.0,0.0
0.21000000000000005,0.012876997862991391,-0.0,-0.0,0.0
0.22000000000000006,0.16740097881837723,-0.0,-0.0,0.0
0.23000000000000007,-0.012876997808097257,-0.0,-0.0,0.0
0.24000000000000007,0.19315497665245707,-0.0,-0.0,0.0
0.25000000000000006,-0.10301598589702698,-0.0,-0.0,0.0
0.26000000000000006,0.19315497707418514,-0.0,-0.0,0.0
0.2700000000000001,-0.16740097643671753,-0.0,-0.0,0.0
0.2800000000000001,0.0643849938415035,-0.0,-0.0,0.0
0.2900000000000001,-0.3090479581420265,-0.0,-0.0,0.0
0.3000000000000001,0.012877001380291176,-0.0,-0.0,0.0
0.3100000000000001,-0.5150799292363413,-0.0,-0.0,0.0
0.3200000000000001,-0.0901389832703579,-0.0,-0.0,0.0
0.3300000000000001,-0.4764489320881474,-0.0,-0.0,0.0
0.34000000000000014,-0.1287699770406828,-0.0,-0.0,0.0
0.35000000000000014,-0.6309729113981567,-0.0,-0.0,0.0
0.36000000000000015,0.012877006051721818,-0.0,-0.0,0.0
0.37000000000000016,-0.47644893085832374,-0.0,-0.0,0.0
0.38000000000000017,0.11589299403680853,-0.0,-0.0,0.0
