t [s],F [N],x [m],v [m/s]
0.0,0.0,-0.0,-0.0
0.002,0.0,-0.0,-0.0
0.004,0.0,-0.0,-0.0
0.006,0.0,-0.0,-0.0
0.008,0.0,-0.0,-0.0
0.01,0.0,-0.0,-0.0
0.012,0.0,-0.0,-0.0
0.014,0.0,-0.0,-0.0
0.016,0.0,-0.0,-0.0
0.018000000000000002,0.0,-0.0,-0.0
0.020000000000000004,0.0,-0.0,-0.0
0.022000000000000006,0.0,-0.0,-0.0
0.024000000000000007,0.0,-0.0,-0.0
0.02600000000000001,-1.538801930761724,-0.0,-0.0
0.02800000000000001,0.8434437396348637,-0.0,-0.0
0.030000000000000013,0.779058720579312,-0.0,-0.0
0.032000000000000015,-1.0881068093825497,-0.0,-0.0
0.034000000000000016,0.00643849597897761,-0.0,-0.0
0.03600000000000002,0.3283635886506764,-0.0,-0.0
0.03800000000000002,-0.6374116854631184,-0.0,-0.0
0.04000000000000002,-0.9593367742363801,-0.0,-0.0
0.04200000000000002,0.6502886826247167,-0.0,-0.0
0.044000000000000025,1.616063972375198,-0.0,-0.0
0.04600000000000003,-0.9593367742363801,-0.0,-0.0
0.04800000000000003,0.6502886826247167,-0.0,-0.0
0.05000000000000003,0.7146737015759352,-0.0,-0.0
0.05200000000000003,-1.2812618617130178,-0.0,-0.0
0.054000000000000034,1.1009838163790364,-0.0,-0.0
0.056000000000000036,0.45713362608393315,-0.0,-0.0
0.05800000000000004,-0.8949517565855047,-0.0,-0.0
0.06000000000000004,-1.2812618617130178,-0.0,-0.0
0.06200000000000004,0.9078287587426015,-0.0,-0.0
0.06400000000000004,0.779058720579312,-0.0,-0.0
0.06600000000000004,-0.18671655899951678,-0.0,-0.0
0.06800000000000005,0.5215186448787323,-0.0,-0.0
0.07000000000000005,0.5215186448787323,-0.0,-0.0
0.07200000000000005,-1.3456468790528753,-0.0,-0.0
0.07400000000000005,-1.2812618617130178,-0.0,-0.0
0.07600000000000005,0.3927486073412534,-0.0,-0.0
0.07800000000000006,-0.7017967033215722,-0.0,-0.0
0.08000000000000006,-0.8949517565855047,-0.0,-0.0
0.08200000000000006,0.7146737015759352,-0.0,-0.0
0.08400000000000006,-1.0881068093825497,-0.0,-0.0
0.08600000000000006,-0.18671655899951678,-0.0,-0.0
0.08800000000000006,1.2297538550644638,-0.0,-0.0
0.09000000000000007,1.1009838163790364,-0.0,-0.0
0.09200000000000007,-1.2168768443213462,-0.0,-0.0
0.09400000000000007,-0.3154865953918118,-0.0,-0.0
0.09600000000000007,1.1653688356956293,-0.0,-0.0
0.09800000000000007,1.2297538550644638,-0.0,-0.0
0.10000000000000007,4.83531502345122,6.666666666666667e-07,0.0003333333333333333
0.10200000000000008,12.432748030853896,2e-06,0.0006666666666666666
0.10400000000000008,19.321946410374668,4e-06,0.001
0.10600000000000008,25.56729502248955,7.333333333333334e-06,0.0016666666666666668
0.10800000000000008,35.353821757390044,1.2666666666666667e-05,0.0026666666666666666
0.11000000000000008,45.333505013038575,1.9333333333333333e-05,0.0033333333333333335
0.11200000000000009,64.19832959741672,2.8666666666666668e-05,0.004666666666666667
0.11400000000000009,86.66872505653652,4.066666666666667e-05,0.006
0.11600000000000009,99.22382062105387,5.6000000000000006e-05,0.007666666666666667
0.11800000000000009,108.30212213625752,7.400000000000001e-05,0.009
0.12000000000000009,116.02833730680298,9.800000000000001e-05,0.012
0.1220000000000001,120.92160745471583,0.00012533333333333334,0.013666666666666666
0.1240000000000001,118.4105871945011,0.00015733333333333333,0.016
0.12600000000000008,110.81314195313374,0.00019266666666666667,0.017666666666666667
0.12800000000000009,105.14725123789084,0.0002333333333333333,0.02033333333333333
0.1300000000000001,96.58403108012446,0.00027866666666666665,0.02266666666666667
0.1320000000000001,88.79343335409628,0.00032999999999999994,0.025666666666666667
0.1340000000000001,83.7713956781393,0.00038533333333333334,0.02766666666666667
0.1360000000000001,77.33288643204664,0.00044599999999999994,0.030333333333333334
0.1380000000000001,72.50400492978284,0.0005093333333333333,0.03166666666666667
0.1400000000000001,69.99298669323156,0.0005773333333333332,0.034
0.1420000000000001,71.21630325772061,0.0006486666666666666,0.035666666666666666
0.1440000000000001,75.2725636127717,0.0007246666666666665,0.038
0.1460000000000001,78.42743295715988,0.0008039999999999999,0.03966666666666666
0.1480000000000001,85.0590976073006,0.000886,0.041
0.1500000000000001,92.65653953915547,0.0009706666666666666,0.042333333333333334
0.1520000000000001,102.70061678062225,0.0010606666666666666,0.045
0.1540000000000001,113.77485777486245,0.0011539999999999999,0.04666666666666666
0.1560000000000001,116.41464809263032,0.0012506666666666666,0.04833333333333333
0.1580000000000001,116.41464809263032,0.0013506666666666667,0.05
0.16000000000000011,115.96395217608611,0.001454,0.051666666666666666
0.16200000000000012,120.0846006889184,0.0015613333333333332,0.05366666666666666
0.16400000000000012,116.41464809263032,0.0016733333333333333,0.056
0.16600000000000012,112.680310605602,0.0017886666666666667,0.057666666666666665
0.16800000000000012,108.17335189216664,0.0019093333333333334,0.060333333333333336
0.17000000000000012,110.23367583188805,0.002034666666666667,0.06266666666666666
0.17200000000000013,109.97613533541943,0.0021646666666666667,0.065
0.17400000000000013,112.680310605602,0.002298,0.06666666666666667
0.17600000000000013,114.74063470625555,0.002434666666666667,0.06833333333333333
0.17800000000000013,117.38042506865834,0.002576,0.07066666666666667
0.18000000000000013,122.72439130020913,0.002720666666666667,0.07233333333333333
0.18200000000000013,122.46685074731414,0.00287,0.07466666666666667
0.18400000000000014,124.97787118852182,0.0030233333333333336,0.07666666666666667
