t [s],F [N],x [m],v [m/s],a [m/s^2]
0.0,0.0,-0.0,-0.0,0.0
0.049110999999999995,-0.19999264643343478,-0.0,-0.0,0.0
0.09822199999999999,0.3976931815562759,-0.0,-0.0,0.0
0.147333,-0.6297624122973493,-0.0,-0.0,0.0
0.19644399999999998,-0.7861535419042567,-0.0,-0.0,0.0
0.24555499999999997,0.27735764366762516,-0.0,-0.0,0.0
0.294666,-0.5029240074366115,-0.0,-0.0,0.0
0.343777,-0.27487238423421767,-0.0,-0.0,0.0
0.392888,-0.21917937061233095,-0.0,-0.0,0.0
0.44199900000000003,-0.17269340973961317,-0.0,-0.0,0.0
0.49111000000000005,0.4108277190672597,-0.0,-0.0,0.0
0.5402210000000001,0.8348672454425053,-0.0,-0.0,0.0
0.5893320000000001,0.7511023787577618,-0.0,-0.0,0.0
0.6384430000000001,0.35977042590287334,-0.0,-0.0,0.0
0.6875540000000001,-0.17810174112360294,-0.0,-0.0,0.0
0.7366650000000001,-0.3847775498443134,-0.0,-0.0,0.0
0.7857760000000001,0.3780557592993794,-0.0,-0.0,0.0
0.8348870000000002,0.2875304681611496,-0.0,-0.0,0.0
0.8839980000000002,0.2684725142177835,-0.0,-0.0,0.0
0.9331090000000002,0.3766392955128481,-0.0,-0.0,0.0
0.9822200000000002,-0.7873768677446813,-0.0,-0.0,0.0
1.0313310000000002,0.9020852244452653,-0.0,-0.0,0.0
1.0804420000000001,1.7759826373920613,-0.0,-0.0,0.0
1.129553,0.0025625186606257344,-0.0,-0.0,0.0
1.178664,0.3977575649941387,-0.0,-0.0,0.0
1.2277749999999998,0.33878091904415963,-0.0,-0.0,0.0
1.2768859999999997,0.8614582456205844,-0.0,-0.0,0.0
1.3259969999999996,0.7540640861187384,-0.0,-0.0,0.0
1.3751079999999996,0.20872324511144713,-0.0,-0.0,0.0
1.4242189999999995,0.046730619308669785,-0.0,-0.0,0.0
1.4733299999999994,0.4105701811040485,-0.0,-0.0,0.0
1.5224409999999993,0.6068156197460245,-0.0,-0.0,0.0
1.5715519999999992,1.542973351651233,-0.0,-0.0,0.0
1.620662999999999,1.3647557102693564,-0.0,-0.0,0.0
1.669773999999999,0.3065884271138377,-0.0,-0.0,0.0
1.7188849999999989,1.121316049999482,-0.0,-0.0,0.0
1.7679959999999988,0.5582049562434879,-0.0,-0.0,0.0
1.8171069999999987,0.6263242731164433,-0.0,-0.0,0.0
1.8662179999999986,0.9759347496048589,-0.0,-0.0,0.0
1.9153289999999985,0.419133380599215,-0.0,-0.0,0.0
1.9644399999999984,-0.10373709510843632,-0.0,-0.0,0.0
2.0135509999999983,0.07525316854544267,-0.0,-0.0,0.0
2.062661999999998,0.10776758678830956,-0.0,-0.0,0.0
2.111772999999998,0.43909273212631267,-0.0,-0.0,0.0
2.160883999999998,0.35519909510909575,-0.0,-0.0,0.0
2.209994999999998,-0.11648531882525492,-0.0,-0.0,0.0
2.259105999999998,1.3954029546636089,-0.0,-0.0,0.0
2.3082169999999977,0.31978737457917505,-0.0,-0.0,0.005429876538182213
2.3573279999999976,0.5777780228691227,-0.0,-0.0,0.011538487643637204
2.4064389999999976,21.44791838262958,-0.0,-0.0,0.014932160480001089
2.4555499999999975,49.236166514918935,-0.0,-0.0,0.02104077158545608
2.5046609999999974,61.72943709010319,0.00013096266666666665,0.0026666666666666666,0.025113178989092745
2.5537719999999973,71.24664054444905,0.0004092583333333333,0.005666666666666667,0.029864320960002178
2.602882999999997,81.39604172069502,0.0007694056666666666,0.007333333333333333,0.033257993796366056
2.651993999999997,87.68890818683761,0.0012768859999999999,0.010333333333333333,0.032579259229093285
2.701104999999997,89.24316344541779,0.001882588333333333,0.012333333333333333,0.033257993796366056
2.750215999999997,93.43875171245568,0.002602883,0.014666666666666666,0.03393672836363884
2.799326999999997,102.65920842021384,0.0034050293333333327,0.01633333333333333,0.027828117258183842
2.8484379999999967,109.83080439579315,0.004190805333333333,0.016,0.02171950615272885
2.8975489999999966,112.87570354705126,0.004992951666666665,0.01633333333333333,0.01832583331636497
2.9466599999999965,111.68560969591593,0.005811468333333332,0.016666666666666666,0.01221722221090998
2.9957709999999964,115.86574704144896,0.006613614666666666,0.01633333333333333,0.00814481480727332
3.0448819999999963,116.71820551449647,0.007415760999999999,0.01633333333333333,0.0040724074036366615
3.093992999999996,111.9553831878782,0.008217907333333333,0.01633333333333333,0.0006787345672727811
3.143103999999996,110.40293014743918,0.009020053666666666,0.01633333333333333,0.0006787345672727741
3.192214999999996,106.42071312547003,0.0098222,0.01633333333333333,1.474514954580286e-18
3.241325999999996,106.03189166263508,0.010640716666666666,0.016666666666666666,-0.0006787345672727782
3.290436999999996,111.09976994863445,0.011459233333333332,0.016666666666666666,0.0006787345672727811
3.3395479999999957,115.23844297127057,0.012261379666666666,0.01633333333333333,0.001357469134545561
3.3886589999999956,116.20396167294115,0.013063525999999999,0.01633333333333333,0.0006787345672727812
3.4377699999999956,112.86990893997985,0.013865672333333332,0.01633333333333333,0.0006787345672727812
3.4868809999999955,108.99598737293493,0.014684188999999999,0.016666666666666666,0.001357469134545561
3.5359919999999954,104.91036804682507,0.015519075999999998,0.017,1.5612511283791264e-18
3.5851029999999953,102.63242409198455,0.016337592666666664,0.016666666666666666,0.0006787345672727812
3.634213999999995,102.29897381040945,0.017156109333333332,0.016666666666666666,0.001357469134545561
