t [s],F [N],x [m],v [m/s]
0.0,0.0,-0.0,-0.0
0.0006670000000000001,0.0,-0.0,-0.0
0.0013340000000000001,-2.189668966153438,-0.0,-0.0
0.002001,1.0085907966990133,-0.0,-0.0
0.0026680000000000002,-0.5841649737998139,-0.0,-0.0
0.0033350000000000003,-1.7327931166743054,-0.0,-0.0
0.004002,1.8058057039194164,-0.0,-0.0
0.004669,0.46041703636408027,-0.0,-0.0
0.0053360000000000005,0.0686987686803947,-0.0,-0.0
0.0060030000000000005,1.3306444988949395,-0.0,-0.0
0.006670000000000001,-0.22824477834821333,-0.0,-0.0
0.007337000000000001,0.060715030417921034,-0.0,-0.0
0.008004,0.22734337857998332,-0.0,-0.0
0.008671000000000002,0.24279577480330883,-0.0,-0.0
0.009338000000000003,0.13385637432334896,-0.0,-0.0
0.010005000000000003,1.078641661989019,-0.0,-0.0
0.010672000000000004,0.02131142505756023,-0.0,-0.0
0.011339000000000005,-1.3906513078006415,-0.0,-0.0
0.012006000000000006,1.8871883298622882,-0.0,-0.0
0.012673000000000007,1.2772049689473208,-0.0,-0.0
0.013340000000000008,-0.7569742855135259,-0.0,-0.0
0.014007000000000009,0.3338361411606011,-0.0,-0.0
0.01467400000000001,0.13334129458878463,-0.0,-0.0
0.015341000000000011,-0.6998004186932277,-0.0,-0.0
0.016008000000000012,0.0022534633703802376,-0.0,-0.0
0.016675000000000013,0.567296100503531,-0.0,-0.0
0.017342000000000014,-0.4765132890259066,-0.0,-0.0
0.018009000000000015,1.6380184266090003,-0.0,-0.0
0.018676000000000016,0.3012573392048523,-0.0,-0.0
0.019343000000000016,-2.3121292046766744,-0.0,-0.0
0.020010000000000017,1.7939588647323867,-0.0,-0.0
0.02067700000000002,0.22116242526477314,-0.0,-0.0
0.02134400000000002,-2.680282542846077,-0.0,-0.0
0.02201100000000002,1.3771304601235546,-0.0,-0.0
0.02267800000000002,-1.02404319564115,-0.0,-0.0
0.023345000000000022,-2.2461989810791922,-0.0,-0.0
0.024012000000000023,1.4236164217180491,-0.0,-0.0
0.024679000000000024,-0.27936644854908155,-0.0,-0.0
0.025346000000000025,0.15600480960411556,-0.0,-0.0
0.026013000000000026,1.194920947152056,-0.0,-0.0
0.026680000000000027,0.3167097354938253,-0.0,-0.0
0.027347000000000028,-0.19540844273526203,-0.0,-0.0
0.02801400000000003,0.5299528139799947,-0.0,-0.0
0.02868100000000003,0.9032569608274144,-0.0,-0.0
0.02934800000000003,0.4019554557983446,-0.0,-0.0
0.03001500000000003,1.221576332139143,-0.0,-0.0
0.030682000000000032,0.3290716558167872,-0.0,-0.0
0.03134900000000003,-1.13697446640971,-0.0,-0.0
0.03201600000000003,2.376514232908927,2.2233333333333335e-07,0.0003333333333333333
0.03268300000000003,2.5264024817458877,4.446666666666667e-07,0.0003333333333333333
0.03335000000000003,2.015443220799773,6.67e-07,0.0003333333333333333
0.03401700000000003,4.429365189359129,1.1116666666666667e-06,0.0006666666666666666
0.034684000000000034,5.356251496210462,1.5563333333333332e-06,0.0006666666666666666
0.035351000000000035,6.175099793379476,2.001e-06,0.0006666666666666666
0.036018000000000036,8.541505752478795,2.668e-06,0.001
0.03668500000000004,10.94190704507664,3.3350000000000003e-06,0.001
0.03735200000000004,11.092696697371037,4.224333333333334e-06,0.0013333333333333333
0.03801900000000004,13.875029853922522,5.336e-06,0.0016666666666666668
0.03868600000000004,13.674792518112394,6.6700000000000005e-06,0.002
0.03935300000000004,12.69317888626815,8.226333333333335e-06,0.0023333333333333335
0.04002000000000004,19.510648720265177,1.0005e-05,0.0026666666666666666
0.04068700000000004,24.522892306501987,1.2006e-05,0.003
0.041354000000000044,28.06355248735708,1.4229333333333335e-05,0.0033333333333333335
0.042021000000000044,35.02228424168419,1.6897333333333335e-05,0.004
0.042688000000000045,35.221362693141565,1.9565333333333334e-05,0.004
0.043355000000000046,36.03222753339427,2.2455666666666666e-05,0.004333333333333333
0.04402200000000005,40.83805377005435,2.5568333333333334e-05,0.004666666666666667
0.04468900000000005,41.953331019077325,2.890333333333333e-05,0.005
0.04535600000000005,55.08156587887557,3.2460666666666666e-05,0.005333333333333333
0.04602300000000005,64.60501345846174,3.6685e-05,0.006333333333333333
0.04669000000000005,63.360450732226994,4.090933333333333e-05,0.006333333333333333
0.04735700000000005,63.25305650117408,4.580066666666666e-05,0.007333333333333333
0.04802400000000005,75.73680101690036,5.091433333333333e-05,0.007666666666666667
0.048691000000000054,91.91058376016873,5.7139666666666664e-05,0.009333333333333334
0.049358000000000055,108.99812334924677,6.358733333333333e-05,0.009666666666666665
0.050025000000000056,121.94016906381944,7.047966666666667e-05,0.010333333333333333
0.050692000000000056,129.9734972125161,7.781666666666667e-05,0.011
0.05135900000000006,137.67073620464677,8.559833333333334e-05,0.011666666666666665
0.05202600000000006,148.060819376126,9.338e-05,0.011666666666666665
0.05269300000000006,157.77949617699392,0.00010182866666666666,0.012666666666666666
0.05336000000000006,165.8506876296991,0.00011049966666666667,0.013
0.05402700000000006,173.55449865032747,0.00012006000000000001,0.014333333333333333
0.05469400000000006,177.15105307416394,0.00012984266666666666,0.014666666666666666
0.05536100000000006,181.59980963523822,0.00014073700000000002,0.01633333333333333
0.056028000000000064,188.4648129944472,0.00015185366666666667,0.016666666666666666
0.056695000000000065,197.08032139295238,0.00016408200000000002,0.018333333333333333
0.057362000000000066,203.5190967064719,0.00017697733333333333,0.01933333333333333
0.05802900000000007,208.7384174389485,0.00019098433333333335,0.021
0.05869600000000007,211.27107330612725,0.000205436,0.021666666666666667
0.05936300000000007,212.63359277505464,0.00022099933333333334,0.02333333333333333
0.06003000000000007,217.06522589972016,0.00023722966666666666,0.024333333333333332
0.06069700000000007,218.06023478317096,0.0002545716666666667,0.026
0.06136400000000007,217.7330291919625,0.0002725806666666667,0.027
0.06203100000000007,215.01610258807253,0.00029147900000000003,0.028333333333333332
0.06269800000000007,210.16725359596288,0.0003112666666666667,0.029666666666666668
0.06336500000000007,208.85418200329298,0.0003319436666666667,0.031
0.06403200000000007,205.18770312750587,0.00035373233333333337,0.03266666666666666
0.06469900000000008,202.41321681902295,0.0003766326666666667,0.034333333333333334
0.06536600000000008,198.77313632576846,0.0004002,0.035333333333333335
0.06603300000000008,193.13479791768106,0.000424879,0.037
0.06670000000000008,188.80682696577517,0.00044978033333333337,0.037333333333333336
0.06736700000000008,186.0784412742707,0.00047601566666666674,0.03933333333333334
0.06803400000000008,182.531076539362,0.0005026956666666667,0.04
0.06870100000000008,177.6345855806339,0.0005304873333333334,0.041666666666666664
0.06936800000000008,175.0760484537254,0.000558946,0.042666666666666665
0.07003500000000008,171.39927030411437,0.0005885163333333333,0.044333333333333336
0.07070200000000008,167.40983813921343,0.0006185313333333334,0.045
0.07136900000000009,167.97488211631543,0.000649658,0.04666666666666666
0.07203600000000009,165.13214947352958,0.0006814516666666668,0.04766666666666666
0.07270300000000009,164.254966374962,0.0007145793333333335,0.049666666666666665
0.07337000000000009,164.6175834614914,0.0007483740000000001,0.050666666666666665
0.07403700000000009,163.34043991117707,0.0007832803333333335,0.052333333333333336
0.07470400000000009,163.48208720812346,0.0008184090000000001,0.05266666666666667
0.07537100000000009,164.54122269219508,0.0008548716666666667,0.05466666666666666
0.07603800000000009,167.38974996795758,0.0008917790000000001,0.05533333333333334
0.07670500000000009,167.3007697020908,0.000929798,0.057
0.0773720000000001,168.4111558234955,0.0009682616666666667,0.057666666666666665
0.0780390000000001,168.78034022630354,0.001007837,0.059333333333333335
0.0787060000000001,171.76175866094133,0.0010478570000000001,0.06
0.0793730000000001,176.16699041608373,0.001089211,0.062
0.0800400000000001,177.34678392730916,0.0011310096666666668,0.06266666666666666
0.0807070000000001,179.53356123070526,0.0011739200000000002,0.06433333333333333
0.0813740000000001,185.13996316470414,0.001217275,0.065
0.0820410000000001,187.41160045793487,0.0012617416666666668,0.06666666666666667
0.0827080000000001,190.18982030559874,0.001306653,0.06733333333333333
0.0833750000000001,195.60873373450335,0.0013524536666666667,0.06866666666666667
0.0840420000000001,198.52435199551687,0.0013986990000000002,0.06933333333333333
0.0847090000000001,201.5407976182093,0.0014460560000000003,0.071
0.0853760000000001,202.45365070125098,0.0014936353333333337,0.07133333333333333
0.0860430000000001,206.41668766715418,0.0015427710000000003,0.07366666666666667
0.0867100000000001,214.50887602484886,0.001592129,0.074
0.08737700000000011,220.55979714199668,0.0016430433333333334,0.07633333333333332
0.08804400000000011,225.1437663975434,0.0016944023333333334,0.077
0.08871100000000011,228.68765726543367,0.0017468730000000003,0.07866666666666668
0.08937800000000011,232.5769107243313,0.001800010666666667,0.07966666666666668
0.09004500000000011,235.1632651089408,0.0018542600000000004,0.08133333333333333
0.09071200000000011,239.0970736789494,0.0019091763333333334,0.08233333333333333
0.09137900000000011,244.23527275749834,0.001965426666666667,0.08433333333333333
0.09204600000000011,245.42511194773584,0.002022344,0.08533333333333333
0.09271300000000011,247.30876648668513,0.0020803730000000004,0.087
0.09338000000000012,248.18698117092958,0.0021390690000000004,0.088
0.09404700000000012,249.88894069608781,0.002198876666666667,0.08966666666666667
0.09471400000000012,252.48173451657502,0.0022591290000000003,0.09033333333333333
0.09538100000000012,252.1237525411475,0.0023204930000000003,0.092
0.09604800000000012,253.7313234142472,0.002382301666666667,0.09266666666666667
0.09671500000000012,257.0680247068813,0.0024452220000000004,0.09433333333333332
0.09738200000000012,257.2287302792316,0.002509031666666667,0.09566666666666668
0.09804900000000012,258.87261460996996,0.0025739530000000004,0.09733333333333333
0.09871600000000012,257.6693829576443,0.0026395413333333336,0.09833333333333333
0.09938300000000012,258.6230573567828,0.0027064636666666664,0.10033333333333333
0.10005000000000012,257.9539657814869,0.0027740530000000003,0.10133333333333333
0.10071700000000013,257.645302870481,0.0028431986666666667,0.10366666666666667
0.10138400000000013,258.82110640387424,0.0029130113333333332,0.10466666666666667
0.10205100000000013,258.23223885838564,0.0029841579999999998,0.10666666666666667
0.10271800000000013,255.9080599730421,0.003055527,0.107
0.10338500000000013,252.47181918574682,0.0031280076666666662,0.10866666666666668
0.10405200000000013,251.95480565230625,0.0032013776666666664,0.11
0.10471900000000013,250.91717303134038,0.0032760816666666664,0.112
0.10538600000000013,254.200048028647,0.0033512303333333333,0.11266666666666666
0.10605300000000013,252.25921911048394,0.0034277129999999998,0.11466666666666667
0.10672000000000013,251.30013646899184,0.003504640333333333,0.11533333333333333
0.10738700000000014,252.27003582103308,0.0035829016666666666,0.11733333333333333
0.10805400000000014,252.46113124029725,0.00366183,0.11833333333333333
0.10872100000000014,252.8419055894689,0.003742092333333333,0.12033333333333333
0.10938800000000014,253.35119290368417,0.003823021666666666,0.12133333333333333
0.11005500000000014,256.69008331612247,0.0039052849999999992,0.12333333333333332
0.11072200000000014,263.3973531483091,0.003987993,0.124
0.11138900000000014,266.98193850975815,0.004071590333333333,0.12533333333333332
0.11205600000000014,255.49470665812106,0.004155854666666666,0.12633333333333333
0.11272300000000014,252.431385261943,0.004241008333333332,0.12766666666666668
0.11339000000000014,250.03767059458636,0.0043270513333333325,0.129
0.11405700000000014,250.65911700361113,0.0044142059999999995,0.13066666666666665
0.11472400000000015,249.9964640373419,0.004502027666666666,0.13166666666666665
0.11539100000000015,247.01774523201837,0.004591183333333333,0.13366666666666666
0.11605800000000015,250.10772177121953,0.004681006,0.13466666666666666
0.11672500000000015,249.8233965057774,0.0047717179999999994,0.136
0.11739200000000015,249.39562093956428,0.004863096999999999,0.137
0.11805900000000015,249.90374928090012,0.004955365333333333,0.13833333333333334
0.11872600000000015,251.33670729715934,0.005048300666666666,0.13933333333333334
0.11939300000000015,250.11673566737872,0.0051423476666666666,0.141
0.12006000000000015,250.37015598879705,0.005236839333333333,0.14166666666666666
0.12072700000000015,251.22583589804282,0.005332442666666666,0.14333333333333334
0.12139400000000015,253.08438044050274,0.0054289353333333325,0.14466666666666667
0.12206100000000016,254.6199686350414,0.005526317333333333,0.146
0.12272800000000016,253.7918455456516,0.005624366333333334,0.147
0.12339500000000016,252.929340761729,0.0057233046666666666,0.14833333333333334
0.12406200000000016,255.25802646447934,0.005823132333333333,0.14966666666666667
0.12472900000000016,258.50755023150066,0.005924071666666667,0.15133333333333335
0.12539600000000015,264.7723648018152,0.006025678,0.15233333333333335
0.12606300000000015,268.5540978762323,0.006128618333333334,0.15433333333333335
0.12673000000000015,274.23880251833674,0.006232003333333333,0.155
0.12739700000000015,276.3950654901477,0.006336722333333333,0.157
0.12806400000000015,274.24781641555745,0.0064416636666666666,0.15733333333333335
0.12873100000000015,273.9920780852948,0.0065477166666666675,0.159
0.12939800000000015,276.33621735996365,0.0066542143333333335,0.15966666666666665
0.13006500000000015,279.9658733306227,0.006762046000000001,0.16166666666666665
0.13073200000000015,280.9078300831931,0.006870322333333334,0.16233333333333333
0.13139900000000015,291.5204584564995,0.006979932666666667,0.16433333333333333
0.13206600000000016,298.8957955188375,0.00709021,0.16533333333333333
0.13273300000000016,292.9541904388814,0.007201821333333334,0.16733333333333333
0.13340000000000016,290.1777673694175,0.007313877333333333,0.168
0.13406700000000016,283.481438894779,0.007426822666666666,0.16933333333333334
0.13473400000000016,285.3542782872441,0.007540434999999999,0.17033333333333334
0.13540100000000016,288.60470561212213,0.007655159,0.172
0.13606800000000016,290.56665449320803,0.007770549999999999,0.173
0.13673500000000016,290.42603699167245,0.007887275000000001,0.175
0.13740200000000016,286.9675162561014,0.008004667,0.176
0.13806900000000016,284.6885343524289,0.008123170666666667,0.17766666666666667
0.13873600000000016,282.1259997535543,0.008242563666666668,0.179
0.13940300000000017,281.9086350089915,0.008363068333333334,0.18066666666666667
0.14007000000000017,282.4821791704326,0.00848424,0.18166666666666667
0.14073700000000017,279.20393787824895,0.008606745666666669,0.18366666666666664
0.14140400000000017,275.7505688262683,0.008730140666666669,0.185
0.14207100000000017,275.380868554044,0.008855092000000002,0.18733333333333335
0.14273800000000017,276.6308443985993,0.00898026566666667,0.18766666666666665
0.14340500000000017,277.05926405767474,0.009106773333333335,0.18966666666666665
0.14407200000000017,271.39966954762684,0.009233948000000002,0.19066666666666665
0.14473900000000017,264.77738685397054,0.009362234333333337,0.19233333333333336
0.14540600000000017,264.07262574776576,0.009490965333333335,0.193
0.14607300000000017,265.7811531295881,0.009621030333333336,0.195
0.14674000000000018,264.31728975018916,0.009751540000000003,0.19566666666666666
0.14740700000000018,261.9974887483766,0.009883161333333336,0.19733333333333333
0.14807400000000018,266.3734976735852,0.010015449666666669,0.19833333333333333
0.14874100000000018,265.9801036313942,0.010148627333333337,0.19966666666666666
0.14940800000000018,262.42436306232133,0.01028224966666667,0.20033333333333334
0.15007500000000018,255.28828761230423,0.010417428333333338,0.20266666666666666
0.15074200000000018,250.98233090222215,0.010552829333333336,0.203
0.15140900000000018,250.29649926966582,0.010689342000000003,0.20466666666666666
0.15207600000000018,248.65853869498395,0.010826521666666668,0.20566666666666666
0.15274300000000018,249.0757550580354,0.010965257666666669,0.208
0.15341000000000019,249.76261684266592,0.011104216,0.20833333333333334
0.15407700000000019,255.40199196817989,0.011244730666666668,0.21066666666666667
0.1547440000000002,258.3536694462224,0.011386134666666669,0.212
0.1554110000000002,254.62280157982767,0.01152820566666667,0.213
0.1560780000000002,254.68783068524684,0.011670943666666668,0.214
0.1567450000000002,257.0382787139848,0.011814793333333335,0.21566666666666665
0.1574120000000002,260.9653930474907,0.01195908766666667,0.21633333333333335
0.1580790000000002,262.9726679286159,0.012104493666666669,0.218
0.1587460000000002,261.8309884598383,0.01225056666666667,0.219
0.1594130000000002,264.8901898362532,0.012397529000000003,0.22033333333333335
0.1600800000000002,266.8144078910682,0.012544936000000003,0.221
0.1607470000000002,262.3104011545074,0.01269345466666667,0.22266666666666665
0.1614140000000002,267.70240960401117,0.012842640333333336,0.22366666666666665
0.1620810000000002,277.0168986164219,0.012992937666666668,0.22533333333333333
0.1627480000000002,281.23439226829106,0.013143902,0.22633333333333333
0.1634150000000002,277.22306022468257,0.013295755666666667,0.22766666666666666
0.1640820000000002,273.13446622357947,0.013448276333333333,0.22866666666666666
0.1647490000000002,270.0576227062363,0.013602131000000002,0.23066666666666666
0.1654160000000002,278.383154313735,0.013756430333333333,0.23133333333333334
0.1660830000000002,285.4766103747227,0.013912286000000001,0.23366666666666666
0.1667500000000002,290.8424811576765,0.014068808666666668,0.23466666666666666
0.1674170000000002,290.89501957853514,0.014226665333333336,0.23666666666666666
0.1680840000000002,285.61181947066234,0.014384744333333335,0.237
0.1687510000000002,288.5443122292069,0.014544157333333335,0.239
0.1694180000000002,293.54408850745375,0.014704237333333333,0.24
0.1700850000000002,292.9763389156905,0.014865429000000001,0.24166666666666667
0.1707520000000002,288.33943819356875,0.015027287666666668,0.24266666666666667
0.1714190000000002,287.7133555926312,0.015190035666666669,0.244
0.1720860000000002,294.771530057612,0.015353673000000003,0.24533333333333335
0.1727530000000002,298.0662551363282,0.015518422000000002,0.247
0.1734200000000002,294.5116709189462,0.015683393333333337,0.24733333333333335
0.1740870000000002,287.9159118520306,0.015849921000000003,0.24966666666666665
0.17475400000000021,282.778866590136,0.016016671000000003,0.25
0.17542100000000022,294.97550266958035,0.01618519966666667,0.25266666666666665
0.17608800000000022,292.2270227047841,0.016354395333333337,0.25366666666666665
0.17675500000000022,289.2074807923122,0.016524925000000003,0.25566666666666665
0.17742200000000022,279.71103636724155,0.016695899333333337,0.2563333333333333
0.17808900000000022,279.35743237967586,0.01686820766666667,0.2583333333333333
0.17875600000000022,279.1874552239183,0.017041183000000005,0.2593333333333333
0.17942300000000022,280.29243550700824,0.017215492333333336,0.2613333333333333
0.18009000000000022,279.8145679311664,0.017390246333333338,0.262
0.18075700000000022,269.0318367362289,0.017566112000000002,0.26366666666666666
0.18142400000000022,262.9816818575795,0.017742422333333337,0.2643333333333333
0.18209100000000022,261.54434528346167,0.017920066666666668,0.2663333333333333
0.18275800000000023,258.76109936541155,0.018098378000000002,0.2673333333333333
0.18342500000000023,257.9569276152332,0.018277801,0.269
0.18409200000000023,264.9503256647422,0.018457668666666666,0.26966666666666667
0.18475900000000023,260.1023730692207,0.018638648,0.2713333333333333
0.18542600000000023,251.08586245205947,0.01882051666666667,0.27266666666666667
0.18609300000000023,243.87252635916704,0.019003497,0.2743333333333333
0.18676000000000023,257.4041161206223,0.019187366666666667,0.27566666666666667
0.18742700000000023,254.56884680198343,0.019372570333333332,0.2776666666666667
0.18809400000000023,260.2362943611763,0.019558663333333334,0.279
0.18876100000000023,255.654897203195,0.019745423333333335,0.28
0.18942800000000024,247.26987788067052,0.019932628,0.2806666666666667
0.19009500000000024,251.82577763087872,0.020120722,0.282
0.19076200000000024,251.6612089297683,0.020309483,0.283
0.19142900000000024,262.6494539114135,0.020499578,0.285
0.19209600000000024,263.3584644291313,0.020689673000000002,0.285
0.19276300000000024,260.09503310685085,0.020880879666666668,0.2866666666666667
0.19343000000000024,257.78656416232934,0.021072753333333333,0.2876666666666667
0.19409700000000024,256.1151229936729,0.021265738666666666,0.28933333333333333
0.19476400000000024,261.69011353048955,0.021459390999999998,0.29033333333333333
0.19543100000000024,271.5370677119645,0.021654599666666666,0.2926666666666667
0.19609800000000024,283.16105776198367,0.021850030666666666,0.293
0.19676500000000025,282.6969685142673,0.022046795666666667,0.295
0.19743200000000025,278.0287777267963,0.022244227666666668,0.296
0.19809900000000025,275.47628761853895,0.022442549000000003,0.29733333333333334
0.19876600000000025,274.18471886261227,0.022641315000000002,0.298
0.19943300000000025,278.3557265799715,0.02284119266666667,0.2996666666666667
0.20010000000000025,286.76045333794025,0.023041515000000002,0.30033333333333334
0.20076700000000025,279.5535499767085,0.023242504333333337,0.30133333333333334
0.20143400000000025,275.78662462740556,0.02344416066666667,0.3023333333333333
0.20210100000000025,276.4177292153284,0.023647150999999998,0.3043333333333333
0.20276800000000025,287.4789933908726,0.023851030666666665,0.3056666666666667
0.20343500000000025,292.9997751665065,0.024056689,0.3083333333333333
0.20410200000000026,293.7480612457321,0.024262791999999995,0.309
0.20476900000000026,290.64481824702744,0.024470228999999996,0.311
0.20543600000000026,288.5982670948891,0.02467855533333333,0.3123333333333333
0.20610300000000026,293.6576642570793,0.02488799333333333,0.314
0.20677000000000026,300.80623665691456,0.025097875999999998,0.3146666666666667
0.20743700000000026,315.4233803275507,0.025308648,0.316
0.20810400000000026,306.04900477356716,0.025520087,0.317
0.20877100000000026,293.4527902701274,0.025732192999999997,0.318
0.20943800000000026,296.96629649200645,0.02594452133333333,0.3183333333333333
0.21010500000000026,302.2994609595278,0.02615862833333333,0.321
0.21077200000000026,304.56608178583855,0.026373402333333334,0.322
0.21143900000000027,304.4548244700628,0.026589732666666668,0.3243333333333333
0.21210600000000027,281.9382531200396,0.026806285333333332,0.32466666666666666
0.21277300000000027,285.87811727118003,0.027024394333333333,0.327
0.21344000000000027,280.5186855614608,0.027243392666666665,0.3283333333333333
0.21410700000000027,273.87669966948926,0.027463947333333332,0.33066666666666666
0.21477400000000027,278.5938229247562,0.027684946666666665,0.3313333333333333
0.21544100000000027,263.66815761631784,0.027907057666666665,0.333
0.21610800000000027,268.71634873682984,0.028130057999999996,0.3343333333333333
0.21677500000000027,271.6842522650185,0.02835372533333333,0.3353333333333333
0.21744200000000027,251.74877330369173,0.02857850433333333,0.337
