t [s],F [N],x [m],v [m/s],a [m/s^2]
0.0,0.0,-0.0,-0.0,0.0
0.000889,0.0,-0.0,-0.0,0.0
0.001778,11.98808041944397,-0.0,-0.0,0.0
0.002667,18.118503590422286,-0.0,-0.0,0.0
0.003556,24.18529167537925,-0.0,-0.0,0.0
0.004445,30.368795563958873,-0.0,-0.0,0.0
0.005334,30.378577656223833,-0.0,-0.0,0.0
0.006223,30.439072174853187,-0.0,-0.0,0.0
0.007112,30.37054604479024,-0.0,-0.0,0.0
0.008001000000000001,30.619474557739682,-0.0,-0.0,0.0
0.008890000000000002,30.449330510458804,-0.0,-0.0,0.0
0.009779000000000003,30.50248845727983,-0.0,-0.0,0.0
0.010668000000000004,30.535863410150434,-0.0,-0.0,0.0
0.011557000000000005,30.348665059685366,-0.0,-0.0,0.0
0.012446000000000006,30.23169182070879,-0.0,-0.0,0.0
0.013335000000000007,30.23445912305585,-0.0,-0.0,0.0
0.014224000000000007,30.39496266147659,-0.0,-0.0,0.0
0.015113000000000008,30.253160939282207,-0.0,-0.0,0.0
0.01600200000000001,30.45510965156336,-0.0,-0.0,0.0
0.01689100000000001,30.320116779122827,-0.0,-0.0,0.0
0.01778000000000001,30.375321245075156,-0.0,-0.0,0.0
0.018669000000000012,30.354212520053714,-0.0,-0.0,0.0
0.019558000000000013,30.400600230210518,-0.0,-0.0,0.0
0.020447000000000014,30.681449249823764,-0.0,-0.0,0.0
0.021336000000000015,30.724554810975196,-0.0,-0.0,0.0
0.022225000000000016,30.917969941166707,-0.0,-0.0,0.0
0.023114000000000016,30.8630100281322,-0.0,-0.0,0.0
0.024003000000000017,30.81067583734218,-0.0,-0.0,0.0
0.02489200000000002,30.63936050778191,-0.0,-0.0,0.0
0.02578100000000002,30.529839690258324,-0.0,-0.0,0.0
0.02667000000000002,30.339655223411757,-0.0,-0.0,0.0
0.02755900000000002,30.468495675208363,-0.0,-0.0,0.0
0.028448000000000022,31.103585159418337,-0.0,-0.0,0.0
0.029337000000000023,30.877927740209522,-0.0,-0.0,0.0
0.030226000000000024,30.925551082966155,-0.0,-0.0,0.0
0.031115000000000025,30.77804743488498,-0.0,-0.0,0.0
0.032004000000000025,30.557692937345372,-0.0,-0.0,0.0
0.032893000000000026,30.1277957045639,-0.0,-0.0,0.0
