t [s],F [N],x [m],v [m/s],a [m/s^2]
0.0,0.0,-0.0,-0.0,0.0
0.002444,0.0,-0.0,-0.0,0.0
0.004888,0.0,-0.0,-0.0,0.0
0.007332,0.0,-0.0,-0.0,0.0
0.009776,0.0,-0.0,-0.0,0.0
0.01222,-0.00408458327953487,-0.0,-0.0,0.0
0.014664,-2.7755575615628914e-17,-0.0,-0.0,0.0
0.017107999999999998,-0.25573723249899816,-0.0,-0.0,0.0
0.019552,-0.11496585840960652,-0.0,-0.0,0.0
0.021996,0.18841627812314174,-0.0,-0.0,0.0
0.024440000000000003,0.06989636160683962,-0.0,-0.0,0.0
0.026884000000000005,0.007262629441902757,-0.0,-0.0,0.0
0.029328000000000007,-0.15009431747003293,-0.0,-0.0,0.0
0.03177200000000001,-0.3736390495013369,-0.0,-0.0,0.0
0.03421600000000001,-0.18048404497848242,-0.0,-0.0,0.0
0.03666000000000001,-0.2701079694807639,-0.0,-0.0,0.0
0.039104000000000014,-0.4020714717431882,-0.0,-0.0,0.0
0.041548000000000015,-0.13732033856024534,-0.0,-0.0,0.0
0.04399200000000002,-0.2902991055353013,-0.0,-0.0,0.0
0.04643600000000002,-0.31852549161495824,-0.0,-0.0,0.0
0.04888000000000002,-0.42406539024480894,-0.0,-0.0,0.0
0.05132400000000002,-0.6116575349312992,-0.0,-0.0,0.0
0.053768000000000024,-0.10713663897275161,-0.0,-0.0,0.0
0.056212000000000026,-0.07082349765049087,-0.0,-0.0,0.0
0.05865600000000003,0.042082043882679054,-0.0,-0.0,0.0
0.06110000000000003,0.16204418221463382,-0.0,-0.0,0.0
0.06354400000000003,-0.006129442513295946,-0.0,-0.0,0.0
0.06598800000000003,-0.0032965018878365116,-0.0,-0.0,0.0
0.06843200000000003,0.1023464085196033,-0.0,-0.0,0.0
0.07087600000000004,-0.09822575480447689,-0.0,-0.0,0.0
0.07332000000000004,0.115171905153856,-0.0,-0.0,0.0
0.07576400000000004,0.36148317335567637,-0.0,-0.0,0.0
0.07820800000000004,0.18532579573139646,-0.0,-0.0,0.0
0.08065200000000004,0.3790989027926598,-0.0,-0.0,0.0
0.08309600000000004,0.2894749782451721,-0.0,-0.0,0.0
0.08554000000000005,0.3959420212000079,-0.0,-0.0,0.0
0.08798400000000005,0.9857601612958306,-0.0,-0.0,0.0
0.09042800000000005,1.0939269687433264,-0.0,-0.0,0.0
0.09287200000000005,1.3616655741467647,-0.0,-0.0,0.0
0.09531600000000005,1.844501601414145,-0.0,-0.0,0.0
0.09776000000000006,2.1908929345610937,-0.0,-0.0,0.013638843426077468
0.10020400000000006,2.92869360520946,-0.0,-0.0,0.0
0.10264800000000006,3.7036315594073566,-0.0,-0.0,0.0
0.10509200000000006,4.627788209676295,-0.0,-0.0,0.0
0.10753600000000006,6.033647743514351,8.146666666666666e-07,0.0003333333333333333,0.013638843426077468
0.10998000000000006,7.287970744154004,8.146666666666666e-07,-0.0,0.013638843426077468
0.11242400000000007,8.68898858862103,8.146666666666666e-07,-0.0,0.013638843426077468
0.11486800000000007,10.415537063682025,8.146666666666666e-07,-0.0,0.027277686852154936
0.11731200000000007,12.069356252813318,1.6293333333333332e-06,0.0003333333333333333,0.027277686852154936
0.11975600000000007,14.382478080009609,2.4440000000000002e-06,0.0003333333333333333,0.027277686852154936
0.12220000000000007,16.67989000657028,3.2586666666666664e-06,0.0003333333333333333,0.013638843426077468
0.12464400000000007,18.71255077371759,4.8880000000000005e-06,0.0006666666666666666,0.0409165302782324
0.12708800000000006,20.975040374780058,6.517333333333333e-06,0.0006666666666666666,0.0409165302782324
0.12953200000000006,23.27224640901681,8.146666666666666e-06,0.0006666666666666666,0.05455537370430987
0.13197600000000007,26.052185764870774,9.776000000000001e-06,0.0006666666666666666,0.05455537370430987
0.13442000000000007,29.454908761789188,1.222e-05,0.001,0.08183306055646482
0.13686400000000007,33.38703151364784,1.4664e-05,0.001,0.10911074740861974
0.13930800000000007,38.08971474079097,1.7922666666666667e-05,0.0013333333333333333,0.09547190398254228
0.14175200000000007,43.26735374156344,2.1995999999999997e-05,0.0016666666666666668,0.10911074740861974
0.14419600000000007,47.61221103093651,2.7698666666666663e-05,0.0023333333333333335,0.13638843426077468
0.14664000000000008,51.470626380397505,3.503066666666667e-05,0.003,0.1636661211129296
0.14908400000000008,55.184098076559984,4.236266666666667e-05,0.003,0.20458265139116202
0.15152800000000008,58.73660730950378,5.0509333333333334e-05,0.0033333333333333335,0.27277686852154936
0.15397200000000008,62.78513914230657,6.028533333333333e-05,0.004,0.32733224222585927
0.15641600000000008,66.70273792962894,7.169066666666667e-05,0.004666666666666667,0.36824877250409166
0.15886000000000008,70.72458943075762,8.635466666666668e-05,0.006,0.42280414620840157
0.1613040000000001,74.50007832981666,0.000105092,0.007666666666666667,0.463720676486634
0.1637480000000001,77.45689846207071,0.00012790266666666666,0.009333333333333334,0.5319148936170214
0.1661920000000001,79.85660752965117,0.000153972,0.010666666666666666,0.5864702673213312
0.1686360000000001,82.03189589486587,0.0001849293333333333,0.012666666666666666,0.6410256410256412
0.1710800000000001,84.13965707421809,0.00021996,0.014333333333333333,0.6819421713038734
0.1735240000000001,86.13178260231703,0.000259064,0.016,0.7092198581560283
0.1759680000000001,87.61289670880974,0.00030224133333333334,0.017666666666666667,0.7092198581560285
0.1784120000000001,88.73226982133137,0.0003503066666666667,0.01966666666666667,0.722858701582106
0.1808560000000001,89.87198873156163,0.00040244533333333335,0.021333333333333333,0.7364975450081834
0.1833000000000001,91.05847711192048,0.000459472,0.02333333333333333,0.7501363884342609
0.1857440000000001,92.0761736287369,0.000520572,0.025,0.7501363884342608
0.1881880000000001,92.84802211907841,0.00058656,0.027,0.7637752318603382
0.1906320000000001,93.47394822788935,0.0006566213333333333,0.028666666666666667,0.7501363884342608
0.1930760000000001,94.86610844499185,0.0007323853333333333,0.031,0.7228587015821061
0.1955200000000001,96.86467318070892,0.0008122226666666666,0.03266666666666666,0.7501363884342609
0.1979640000000001,99.08513463693784,0.000896948,0.034666666666666665,0.750136388434261
0.2004080000000001,101.2721672448721,0.000984932,0.036,0.722858701582106
0.20285200000000012,102.99016738326517,0.0010761746666666666,0.037333333333333336,0.6819421713038736
0.20529600000000012,103.86570157406986,0.00117312,0.03966666666666666,0.6683033278777961
0.20774000000000012,103.56824245162667,0.0012749533333333333,0.041666666666666664,0.6546644844517187
0.21018400000000012,103.39934746686245,0.0013792306666666665,0.042666666666666665,0.6546644844517187
0.21262800000000012,103.6744006057282,0.0014859519999999996,0.043666666666666666,0.6546644844517187
0.21507200000000012,104.88561313321092,0.0015959319999999998,0.045,0.6819421713038737
0.21751600000000013,105.96290471139756,0.0017108,0.047,0.6819421713038734
0.21996000000000013,107.22717070194838,0.0018297413333333331,0.048666666666666664,0.6137479541734862
0.22240400000000013,108.27103355616907,0.0019535706666666663,0.050666666666666665,0.5728314238952537
0.22484800000000013,109.5499792652303,0.002082288,0.05266666666666667,0.5864702673213313
0.22729200000000013,111.14224863335828,0.0022142639999999996,0.054,0.6273867975995635
0.22973600000000013,113.78543756616106,0.002347869333333333,0.05466666666666666,0.6683033278777962
0.23218000000000014,117.09503811630388,0.0024839186666666666,0.05566666666666666,0.6683033278777962
0.23462400000000014,120.27216012387426,0.0026232266666666665,0.057,0.6819421713038734
0.23706800000000014,123.51691248047257,0.002767422666666666,0.059,0.6819421713038734
0.23951200000000014,126.24055769567516,0.002917321333333333,0.06133333333333334,0.641025641025641
0.24195600000000014,128.70568383137694,0.003072107999999999,0.06333333333333334,0.668303327877796
0.24440000000000014,130.4569592165971,0.0032317826666666658,0.06533333333333333,0.6955810147299514
0.24684400000000015,131.78190195517854,0.003396345333333332,0.06733333333333333,0.7228587015821061
0.24928800000000015,133.45720278181875,0.003563351999999999,0.06833333333333333,0.7364975450081832
0.2517320000000001,135.22042797088312,0.0037352466666666657,0.07033333333333333,0.7637752318603387
0.2541760000000001,136.2050053340343,0.003910399999999999,0.07166666666666667,0.7637752318603381
0.2566200000000001,137.06235772665644,0.004089626666666665,0.07333333333333333,0.7637752318603381
0.2590640000000001,138.23236442958768,0.004272926666666665,0.075,0.7637752318603386
0.26150800000000013,140.273631128328,0.004462743999999999,0.07766666666666668,0.7637752318603381
0.26395200000000013,142.77141449300285,0.004658264,0.08,0.8183306055646481
0.26639600000000013,145.2764090083644,0.004858672,0.082,0.8183306055646481
0.26884000000000013,147.49620285665512,0.005063967999999999,0.084,0.8319694489907252
0.27128400000000014,150.61383456957554,0.005274151999999999,0.086,0.8728859792689583
0.27372800000000014,153.52584596354353,0.0054900386666666655,0.08833333333333333,0.9001636661211132
0.27617200000000014,155.5756113884321,0.005710813333333332,0.09033333333333333,0.8592471358428801
0.27861600000000014,157.5836552647648,0.0059356613333333315,0.092,0.8456082924168029
0.28106000000000014,159.5128402752868,0.0061670266666666645,0.09466666666666668,0.8728859792689578
0.28350400000000014,160.99864355068004,0.0064040946666666645,0.097,0.8592471358428801
0.28594800000000015,162.17148372812366,0.006645235999999997,0.09866666666666667,0.886524822695036
0.28839200000000015,162.84155308472648,0.006891265333333331,0.10066666666666667,0.8865248226950355
0.29083600000000015,164.12369372538495,0.007143811999999998,0.10333333333333333,0.9547190398254226
0.29328000000000015,166.625598638349,0.007400431999999998,0.105,0.981996726677578
0.29572400000000015,168.84997771438475,0.007663569333333332,0.10766666666666667,0.9819967266775775
0.29816800000000016,170.0707205528177,0.007932409333333331,0.11,0.9547190398254226
0.30061200000000016,170.97360653915604,0.008210210666666664,0.11366666666666667,0.9547190398254226
0.30305600000000016,171.4861639137273,0.008493714666666664,0.116,0.9547190398254226
0.30550000000000016,171.88102522188967,0.008783735999999997,0.11866666666666667,0.9410801963993449
0.30794400000000016,172.45024158202926,0.009077830666666665,0.12033333333333333,0.9956355701036562
0.31038800000000016,172.65884954609362,0.009375998666666665,0.122,1.0501909438079646
0.31283200000000017,173.8953026078472,0.009679054666666664,0.124,1.091107474086197
0.31527600000000017,175.20649415870525,0.009987813333333331,0.12633333333333333,1.0774686306601207
0.31772000000000017,175.0939488447133,0.010303903999999997,0.12933333333333336,1.07746863066012
0.32016400000000017,174.0817107368394,0.010629770666666667,0.13333333333333333,1.036552100381887
