F,x,v,a
0.0,-0.0,-0.0,0.0
0.0,-0.0,-0.0,0.0
-0.17554479543956614,-0.0,-0.0,0.0
-0.12693423190301978,-0.0,-0.0,0.0
-0.1419587543878209,-0.0,-0.0,0.0
-0.0402674732499686,-0.0,-0.0,0.0
-0.03048538098500808,-0.0,-0.0,0.0
0.030009137644344538,-0.0,-0.0,0.0
-0.03851699241859796,-0.0,-0.0,0.0
0.2104115205308421,-0.0,-0.0,0.0
0.04026747324996638,-0.0,-0.0,0.0
0.09342542007099164,-0.0,-0.0,0.0
0.1268003729415934,-0.0,-0.0,0.0
-0.0603979775234742,-0.0,-0.0,0.0
-0.17737121650005072,-0.0,-0.0,0.0
-0.17460391415299314,-0.0,-0.0,0.0
-0.01410037573224665,-0.0,-0.0,0.0
-0.15590209792663012,-0.0,-0.0,0.0
0.0460466143545224,-0.0,-0.0,0.0
-0.08894625808601342,-0.0,-0.0,0.0
-0.033741792133681336,-0.0,-0.0,0.0
-0.05485051715512057,-0.0,-0.0,0.0
-0.008462806998319472,-0.0,-0.0,0.0
0.27238621261493234,-0.0,-0.0,0.0
0.3154917737663654,-0.0,-0.0,0.0
0.5089069039578731,-0.0,-0.0,0.0
0.4539469909233729,-0.0,-0.0,0.0
0.40161280013335293,-0.0,-0.0,0.0
0.2302974705730776,-0.0,-0.0,0.0
0.12077665304949248,-0.0,-0.0,0.0
-0.06940781379707328,-0.0,-0.0,0.0
0.05943263799953025,-0.0,-0.0,0.0
0.6945221222095088,-0.0,-0.0,0.0
0.4688647030006865,-0.0,-0.0,0.0
0.5164880457573195,-0.0,-0.0,0.0
0.3689843976761442,-0.0,-0.0,0.0
0.14862990013653876,-0.0,-0.0,0.0
-0.28126733264493,-0.0,-0.0,0.0
-0.09960358335726616,-0.0,-0.0,0.0
-0.07509686826385531,-0.0,-0.0,0.0
0.13277258532617964,-0.0,-0.0,0.0
0.2184946027754986,-0.0,-0.0,0.0
0.07216222733213762,-0.0,-0.0,0.0
-0.34180044996912073,-0.0,-0.0,0.0
-0.07550872953502763,-0.0,-0.0,0.03749531308586426
0.23713209618278164,-0.0,-0.0,0.03749531308586426
0.8313298672338209,-0.0,-0.0,0.03749531308586426
1.941301378952276,-0.0,-0.0,0.07499062617172852
3.614811527482285,2.9633333333333333e-07,0.0003333333333333333,0.07499062617172852
4.9113894197192165,5.926666666666667e-07,0.0003333333333333333,0.07499062617172852
6.6486378527579415,8.890000000000002e-07,0.0003333333333333333,0.1124859392575928
8.392489278082923,1.4816666666666663e-06,0.0006666666666666666,0.1124859392575928
10.29759098728556,2.074333333333333e-06,0.0006666666666666666,0.14998125234345708
12.550304783703986,2.667e-06,0.0006666666666666666,0.18747656542932134
15.569407552354571,3.5560000000000008e-06,0.001,0.2249718785151856
18.66322782903838,4.4450000000000015e-06,0.001,0.2624671916010498
22.715784400076643,5.6303333333333335e-06,0.0013333333333333333,0.3374578177727784
27.367881492188143,7.1120000000000015e-06,0.0016666666666666668,0.3749531308586427
32.55202281622016,9.186333333333334e-06,0.0023333333333333327,0.4874390701162355
38.475769895171425,1.1557e-05,0.0026666666666666666,0.5249343832020997
45.19687584383989,1.452033333333333e-05,0.0033333333333333327,0.562429696287964
52.50662240008121,1.807633333333333e-05,0.004,0.6374203224596926
60.18649541913091,2.252133333333333e-05,0.005,0.7874015748031497
68.92224781589363,2.7262666666666666e-05,0.005333333333333333,0.8998875140607423
78.22964052339519,3.2596666666666666e-05,0.006,1.0123734533183353
88.23225025369308,3.852333333333334e-05,0.006666666666666667,1.0873640794900636
98.58290275940844,4.5931666666666666e-05,0.008333333333333333,1.2373453318335206
109.96605225445367,5.452533333333333e-05,0.009666666666666664,1.3498312710911136
121.75781918870504,6.460066666666668e-05,0.011333333333333334,1.3873265841769775
133.34187702985454,7.5565e-05,0.012333333333333332,1.5748031496062986
144.9923060310071,8.830733333333333e-05,0.014333333333333332,1.7247844019497556
156.38787792223556,0.00010253133333333332,0.016,1.8372703412073483
167.00152762906592,0.00011794066666666668,0.017333333333333333,1.8747656542932127
176.79079193735149,0.00013512799999999998,0.01933333333333333,1.9872515935508048
186.02449852441924,0.00015409333333333335,0.021333333333333333,2.1372328458942618
194.49467244083147,0.00017454033333333334,0.023,2.2872140982377194
202.58280516321548,0.00019676533333333327,0.025,2.399700037495312
210.4441114955219,0.00022106466666666665,0.02733333333333333,2.5496812898387686
218.00651173450177,0.000248031,0.03033333333333333,2.8121484814398188
225.6986205930496,0.0002770716666666667,0.03266666666666666,2.962129733783276
233.50376960206486,0.0003087793333333333,0.035666666666666666,3.187101612298462
242.11823533795916,0.00034315400000000003,0.03866666666666666,3.4120734908136483
251.07445392102403,0.0003807883333333333,0.04233333333333333,3.6745406824146976
260.90164528924254,0.000421386,0.04566666666666666,3.9370078740157486
271.3368619756492,0.0004655396666666666,0.049666666666666665,3.974503187101612
283.1142251997773,0.000512953,0.05333333333333334,4.0119985001874765
295.068658868403,0.0005642186666666668,0.057666666666666665,4.236970378702663
306.72505137871366,0.0006196330000000001,0.06233333333333334,4.3119610048743935
317.79960190341154,0.0006780106666666668,0.06566666666666666,4.38695163104612
328.47414430702224,0.000738759,0.06833333333333333,4.499437570303714
337.662715161287,0.0008039523333333334,0.07333333333333332,4.536932883389578
345.6757061302949,0.0008724053333333332,0.077,4.649418822647172
354.1058551508293,0.0009447106666666668,0.08133333333333333,4.7619047619047645
363.0331598468875,0.0010208683333333337,0.08566666666666667,4.836895388076491
371.84747366799326,0.0011008783333333336,0.09,5.099362579677542
380.7907016639967,0.001185037,0.09466666666666668,5.436820397450321
390.715853137276,0.0012739370000000006,0.1,5.436820397450321
400.8057449046871,0.0013675783333333335,0.10533333333333332,5.661792275965505
410.29405724409213,0.0014662573333333337,0.111,5.736782902137233
420.9004162990415,0.0015699740000000002,0.11666666666666667,5.886764154480693
432.2683961593331,0.0016781356666666668,0.12166666666666667,6.036745406824148
443.3624693609286,0.0017913350000000005,0.12733333333333333,6.224221972253468
454.85355593284277,0.0019089793333333337,0.13233333333333333,6.261717285339332
466.27016477205086,0.0020316613333333333,0.138,6.374203224596927
476.1938212191157,0.002159381,0.14366666666666664,6.449193850768653
485.8510471885688,0.002292731,0.15,6.561679790026245
495.0414672200872,0.002431118666666667,0.15566666666666665,6.749156355455568
503.8452481662189,0.002575136666666667,0.162,6.899137607799023
512.6192140952114,0.0027247850000000004,0.16833333333333333,7.124109486314208
522.1580896636353,0.00288036,0.175,7.236595425571803
531.5235046124224,0.003041861666666667,0.18166666666666667,7.386576677915262
541.6529709853,0.0032095863333333327,0.18866666666666665,7.5365579302587165
551.6577622958437,0.003383534,0.19566666666666666,7.686539182602174
561.8809591575118,0.0035634083333333337,0.20233333333333334,7.799025121859765
571.2628818105778,0.0037495056666666674,0.20933333333333332,7.8740157480314945
580.9645903815972,0.003942418666666667,0.217,7.949006374203219
589.2186949969889,0.004141554666666668,0.22399999999999998,8.023997000374951
596.3407455927594,0.004347210000000001,0.2313333333333333,8.023997000374953
601.9108198642873,0.004559088333333334,0.2383333333333333,8.09898762654668
607.5991658847793,0.004777486000000001,0.24566666666666664,8.286464191976004
614.2208479013179,0.005002403000000001,0.253,8.39895013123359
619.7470586634505,0.005233543,0.26,8.361454818147733
626.0617797617488,0.005471498666666667,0.26766666666666666,8.54893138357705
631.6177163390339,0.005716862666666668,0.276,8.623922009748776
639.229432359394,0.005969338666666667,0.284,8.811398575178107
642.3942340505994,0.006228334,0.2913333333333333,8.848893888263968
648.9838172413957,0.006495034,0.3,8.998875140607428
652.8067638406243,0.006768845999999999,0.308,9.036370453693287
659.0831012878275,0.007050362666666666,0.3166666666666667,9.18635170603675
661.1737872864088,0.007338694999999998,0.3243333333333333,9.18635170603675
664.6758527403929,0.007634731999999999,0.33299999999999996,9.261342332208477
664.3130572044679,0.007937288333333334,0.3403333333333333,9.448818897637796
665.9610778381978,0.008247845666666666,0.3493333333333333,9.373828271466069
664.9826167067462,0.008565811333333334,0.3576666666666667,9.448818897637802
665.8059467404715,0.00889148166666667,0.3663333333333333,9.448818897637796
664.8693592369243,0.009225153000000002,0.3753333333333333,9.523809523809527
666.5723823184862,0.009565936333333334,0.3833333333333333,9.561304836895387
665.4483786268622,0.009914424333333331,0.392,9.67379077615299
666.228163444437,0.010270617,0.40066666666666667,9.59880014998126
665.0411237375545,0.010634218,0.409,9.711286089238847
666.0935715481919,0.01100582,0.418,9.67379077615299
667.8390748344218,0.011384830333333332,0.4263333333333333,9.71128608923885
