,v_const,a_const,smooth,integrated_v_const,integrated_a_const,integrated_smooth
72,0.017,0.038,0.017666666666666667,0.0151016666325,0.0006866666666666667,0.00028070365266666663
73,0.016666666666666666,0.03966666666666666,0.019666666666666666,0.015928370334333333,0.0007643333333333333,0.00032633327399999993
74,0.016666666666666666,0.041,0.021333333333333333,0.016746888850999998,0.000845,0.00037644437599999994
75,0.017,0.042333333333333334,0.02333333333333333,0.01757359255283333,0.0009283333333333334,0.0004310369586666666
76,0.016666666666666666,0.045000000000000005,0.025,0.018400296254666663,0.0010156666666666667,0.0004901110219999999
77,0.017,0.04666666666666666,0.027000000000000003,0.019226999956499995,0.0011073333333333334,0.0005536665659999999
78,0.017,0.04833333333333333,0.028666666666666667,0.020061888843499995,0.0012023333333333335,0.0006217035906666665
79,0.017,0.05,0.031000000000000003,0.020896777730499996,0.0013006666666666668,0.0006946295033333332
80,0.01633333333333333,0.051666666666666666,0.03266666666666666,0.02171529624716666,0.0014023333333333333,0.0007724443039999999
81,0.017,0.05366666666666667,0.034666666666666665,0.022533814763833326,0.0015076666666666667,0.0008547405853333332
82,0.016666666666666666,0.056,0.036000000000000004,0.02336051846566666,0.0016173333333333335,0.0009411109399999999
83,0.01633333333333333,0.057666666666666665,0.037333333333333336,0.02417085179716666,0.0017310000000000001,0.0010307405533333332
84,0.016666666666666666,0.060333333333333336,0.03966666666666666,0.02498118512866666,0.0018490000000000002,0.0011248516473333333
85,0.017,0.06266666666666666,0.041666666666666664,0.025807888830499993,0.0019720000000000002,0.0012242590366666666
86,0.016666666666666666,0.065,0.042666666666666665,0.026634592532333325,0.0020996666666666668,0.0013273330919999998
87,0.01633333333333333,0.06666666666666667,0.043666666666666666,0.027444925863833326,0.0022313333333333334,0.0014328515913333332
88,0.016666666666666666,0.06833333333333333,0.045000000000000005,0.028255259195333327,0.0023663333333333336,0.0015412219419999999
89,0.016,0.07066666666666667,0.047,0.02905740734166666,0.0025053333333333334,0.0016536663659999999
90,0.01633333333333333,0.07233333333333333,0.048666666666666664,0.029851370302833326,0.0026483333333333333,0.0017705922706666665
91,0.01633333333333333,0.07466666666666667,0.050666666666666665,0.03065351844916666,0.0027953333333333333,0.0018919996559999999
92,0.016,0.07666666666666666,0.05266666666666667,0.03144748141033333,0.0029466666666666664,0.002018295929333333
93,0.016666666666666666,0.078,0.054000000000000006,0.03224962955666666,0.003101333333333333,0.002148666276
94,0.01633333333333333,0.08033333333333334,0.05466666666666666,0.03305996288816666,0.0032596666666666664,0.0022814810666666662
95,0.01633333333333333,0.08233333333333334,0.05566666666666666,0.033862111034499986,0.0034223333333333332,0.0024163328939999997
96,0.01633333333333333,0.08466666666666667,0.057,0.034664259180833316,0.0035893333333333333,0.0025540365726666662
97,0.016666666666666666,0.08666666666666667,0.059000000000000004,0.035474592512333314,0.0037606666666666665,0.0026958143246666663
98,0.01633333333333333,0.08833333333333333,0.06133333333333334,0.03628492584383331,0.003935666666666666,0.002842888372
99,0.016666666666666666,0.09000000000000001,0.06333333333333332,0.03709525917533331,0.004114,0.0029952587146666663
100,0.01633333333333333,0.092,0.06533333333333333,0.037905592506833306,0.0042959999999999995,0.003152517945333333
101,0.016666666666666666,0.09433333333333334,0.06733333333333333,0.038715925838333304,0.004482333333333333,0.0033146660639999997
102,0.016666666666666666,0.09633333333333334,0.06833333333333333,0.03953444435499997,0.004673,0.0034804808486666662
