Timestamp,16.07.2020 10:45:14,Timestamp,16.07.2020 10:45:14
Interval,0.0005,Interval,0.0005
Channel name,"Force",Channel name,"Potentiometer"
Unit,"V",Unit,"V"
0,-0.13668717190818822,0,-3.2703270970726037
0.0005,-0.13153637050233183,0.0005,-3.2738683307381753
0.001,-0.13990642282059776,0.001,-3.274834121755037
0.0015,-0.14892032551400503,0.0015,-3.2745121914152659
0.002,-0.13668717190818822,0.002,-3.2671077938260176
0.0025,-0.14344759885431477,0.0025,-3.2738683307381753
0.003,-0.13700909699825947,0.003,-3.2741902610763121
0.0035,-0.13153637050233183,0.0035,-3.2735464004008565
0.004,-0.13733102208859052,0.004,-3.2687174454391057
0.0045,-0.14312567375903701,0.0045,-3.2741902610763121
0.005,-0.1363652468183767,0.005,-3.2757999127792559
0.0055,-0.1457010745285682,0.0055,-3.2738683307381753
0.006,-0.14119412319284672,0.006,-3.2722586790597519
0.0065,-0.1337898461092277,0.0065,-3.2735464004008565
0.007,-0.13733102208859052,0.007,-3.2745121914152659
0.0075,-0.13700909699825947,0.0075,-3.2741902610763121
0.008,-0.13121444541666813,0.008,-3.2719367487265179
0.0085,-0.13926257263603534,0.0085,-3.2738683307381753
0.009,-0.12606364408120005,0.009,-3.2777314948497711
0.0095,-0.14151604828656011,0.0095,-3.2735464004008565
0.01,-0.13411177119696349,0.01,-3.2700051667442711
0.0105,-0.14087219809939383,0.0105,-3.2738683307381753
0.011,-0.13958449772818643,0.011,-3.2774095645026406
0.0115,-0.12541979391891239,0.0115,-3.274834121755037
0.012,-0.12992674507660024,0.012,-3.2677516544688046
0.0125,-0.13604332172882486,0.0125,-3.2735464004008565
0.013,-0.15568075266873871,0.013,-3.2745121914152659
0.0135,-0.13411177119696349,0.0135,-3.27290253972867
0.014,-0.13765294717918139,0.014,-3.2712928880625021
0.0145,-0.13443369628495855,0.0145,-3.2741902610763121
0.015,-0.14087219809939383,0.015,-3.2764437734661569
0.0155,-0.12606364408120005,0.0155,-3.2735464004008565
0.016,-0.1279951945742529,0.016,-3.2722586790597519
0.0165,-0.14248182356926403,0.0165,-3.2735464004008565
0.017,-0.13861872245251361,0.017,-3.2751560520956255
0.0175,-0.13185829558825438,0.0175,-3.274834121755037
0.018,-0.13990642282059776,0.018,-3.2719367487265179
0.0185,-0.14731070001801644,0.0185,-3.2745121914152659
0.019,-0.14409144904565313,0.019,-3.2764437734661569
0.0195,-0.12767326949143232,0.0195,-3.2738683307381753
0.02,-0.13089252033126317,0.02,-3.2716148183941018
0.0205,-0.13443369628495855,0.0205,-3.2735464004008565
0.021,-0.13507754646172668,0.021,-3.2738683307381753
0.0215,-0.1476326251166907,0.0215,-3.2738683307381753
0.022,-0.13861872245251361,0.022,-3.2693613060900555
0.0225,-0.14248182356926403,0.0225,-3.2738683307381753
0.023,-0.13990642282059776,0.023,-3.2777314948497711
0.0235,-0.13057059524611689,0.0235,-3.2735464004008565
0.024,-0.12831711965733167,0.024,-3.2700051667442711
0.0245,-0.14280374866402012,0.0245,-3.2738683307381753
0.025,-0.13539947155049989,0.025,-3.2761218431222972
0.0255,-0.14602299962593498,0.0255,-3.2751560520956255
0.026,-0.14215989847476873,0.026,-3.2741902610763121
0.0265,-0.13282407084757536,0.0265,-3.2741902610763121
0.027,-0.13958449772818643,0.027,-3.2757999127792559
0.0275,-0.13733102208859052,0.0275,-3.2741902610763121
0.028,-0.13250214576087607,0.028,-3.2712928880625021
0.0285,-0.14473529923803563,0.0285,-3.2738683307381753
0.029,-0.12702941932656545,0.029,-3.274834121755037
0.0295,-0.14441337414171382,0.0295,-3.2741902610763121
0.03,-0.13153637050233183,0.03,-3.2703270970726037
0.0305,-0.14151604828656011,0.0305,-3.2738683307381753
0.031,-0.1363652468183767,0.031,-3.2777314948497711
0.0315,-0.12348824343823295,0.0315,-3.2732244700643549
0.032,-0.12896096982426397,0.032,-3.2700051667442711
0.0325,-0.13475562137321292,0.0325,-3.2738683307381753
0.033,-0.15052995101654107,0.033,-3.2761218431222972
0.0335,-0.13057059524611689,0.0335,-3.2751560520956255
0.034,-0.1337898461092277,0.034,-3.270649027401753
0.0345,-0.13282407084757536,0.0345,-3.2745121914152659
0.035,-0.14215989847476873,0.035,-3.2754779824370321
0.0355,-0.12638556916273061,0.0355,-3.2738683307381753
0.036,-0.13185829558825438,0.036,-3.27290253972867
0.0365,-0.14376952394985346,0.0365,-3.2741902610763121
0.037,-0.13507754646172668,0.037,-3.2754779824370321
0.0375,-0.13411177119696349,0.0375,-3.2741902610763121
0.038,-0.14087219809939383,0.038,-3.2725806093938021
0.0385,-0.14312567375903701,0.0385,-3.2745121914152659
0.039,-0.1450572243346186,0.039,-3.2754779824370321
0.0395,-0.13089252033126317,0.0395,-3.2745121914152659
0.04,-0.13250214576087607,0.04,-3.2703270970726037
0.0405,-0.13829679736114286,0.0405,-3.2735464004008565
0.041,-0.13894064754414442,0.041,-3.2745121914152659
0.0415,-0.14795455021562665,0.0415,-3.2745121914152659
0.042,-0.13894064754414442,0.042,-3.270970957731719
0.0425,-0.14183797338053411,0.0425,-3.2741902610763121
0.043,-0.13733102208859052,0.043,-3.2732244700643549
0.0435,-0.13218022067443574,0.0435,-3.2738683307381753
0.044,-0.13185829558825438,0.044,-3.2716148183941018
0.0445,-0.14183797338053411,0.0445,-3.2745121914152659
0.045,-0.13668717190818822,0.045,-3.2751560520956255
0.0455,-0.1450572243346186,0.0455,-3.2741902610763121
0.046,-0.14183797338053411,0.046,-3.2732244700643549
